Baseline,Position,Actual_Depth,Timestamp,Flower_ID,X1,Y1,X2,Y2,Confidence,Depth_Min,Depth_Max,Depth_Mean,Depth_Median,Valid_Pixels,Coverage_Percent
16_v1,1,0.475,2026-01-21 15:58:31.308,1,1027,79,1388,546,0.799,0.2020,0.5966,0.3661,0.3201,20502,19.0
16_v1,1,0.475,2026-01-21 15:58:32.936,1,1023,74,1391,546,0.799,0.2002,0.5988,0.3754,0.3382,19972,18.0
16_v1,1,0.475,2026-01-21 15:58:34.225,1,1020,74,1389,545,0.783,0.2000,0.5978,0.3693,0.3316,20035,18.0
16_v1,1,0.475,2026-01-21 15:58:35.411,1,1021,78,1397,547,0.783,0.2012,0.5953,0.3652,0.3319,21705,19.2
16_v1,1,0.475,2026-01-21 15:58:36.390,1,1019,71,1393,546,0.812,0.2000,0.5961,0.3726,0.3336,20357,17.9
16_v1,2,0.360,2026-01-21 16:02:38.219,1,786,513,1231,1080,0.857,0.2025,0.5544,0.3648,0.3841,12182,7.5
16_v1,2,0.360,2026-01-21 16:02:40.390,1,785,505,1236,1080,0.859,0.2449,0.5318,0.3964,0.3964,10343,6.2
16_v1,2,0.360,2026-01-21 16:02:42.314,1,787,510,1232,1080,0.860,0.2244,0.5530,0.3956,0.3973,10345,6.4
16_v1,2,0.360,2026-01-21 16:02:43.954,1,783,504,1242,1080,0.863,0.2555,0.5316,0.3995,0.3958,11669,6.9
16_v1,2,0.360,2026-01-21 16:02:45.245,1,786,508,1238,1080,0.864,0.2590,0.5449,0.3991,0.3964,10424,6.3
16_v1,3,0.563,2026-01-21 16:08:16.611,1,962,76,1302,476,0.760,0.2070,0.3972,0.2657,0.2647,9058,10.4
16_v1,3,0.563,2026-01-21 16:08:19.519,1,965,76,1307,474,0.779,0.2072,0.5742,0.3603,0.2970,11477,13.2
16_v1,3,0.563,2026-01-21 16:08:22.276,1,967,80,1305,480,0.803,0.2064,0.4938,0.2939,0.2687,9439,10.9
16_v1,3,0.563,2026-01-21 16:08:25.118,1,966,76,1308,481,0.798,0.2070,0.5545,0.3484,0.2914,11505,13.0
16_v1,3,0.563,2026-01-21 16:08:26.638,1,965,76,1306,481,0.780,0.2070,0.5564,0.3576,0.2895,11785,13.4
16_v2,1,0.382,2026-01-22 11:49:47.035,1,309,386,831,953,0.837,0.2759,0.3721,0.3172,0.3134,5171,2.7
16_v2,1,0.382,2026-01-22 11:49:48.705,1,305,389,824,954,0.859,0.2827,0.3674,0.3179,0.3144,3914,2.1
16_v2,1,0.382,2026-01-22 11:49:50.570,1,307,380,820,963,0.850,0.2815,0.3568,0.3146,0.3122,3120,1.6
16_v2,1,0.382,2026-01-22 11:49:52.426,1,309,389,831,952,0.851,0.2765,0.3679,0.3181,0.3144,5221,2.8
16_v2,1,0.382,2026-01-22 11:49:54.289,1,301,386,824,955,0.851,0.2811,0.3505,0.3138,0.3125,4072,2.1
16_v2,2,0.501,2026-01-22 11:51:18.649,1,673,64,1073,501,0.792,0.2597,0.5997,0.3990,0.3932,16303,14.6
16_v2,2,0.501,2026-01-22 11:51:20.047,1,672,64,1073,503,0.757,0.2608,0.5999,0.4035,0.3931,16740,14.9
16_v2,2,0.501,2026-01-22 11:51:21.523,1,672,59,1080,502,0.766,0.2602,0.5998,0.3998,0.3861,17257,14.9
16_v2,2,0.501,2026-01-22 11:51:22.976,1,672,65,1075,501,0.761,0.2617,0.5998,0.4010,0.3941,17394,15.5
16_v2,2,0.501,2026-01-22 11:51:24.342,1,671,63,1073,503,0.740,0.2599,0.5735,0.3932,0.3789,17038,15.0
16_v2,3,0.584,2026-01-22 11:52:55.352,1,734,108,1076,526,0.750,0.2597,0.5998,0.4161,0.3981,16478,18.1
16_v2,3,0.584,2026-01-22 11:52:56.620,1,734,108,1074,527,0.763,0.2597,0.5999,0.4097,0.3762,17022,18.7
16_v2,3,0.584,2026-01-22 11:52:59.648,1,733,110,1074,526,0.769,0.2624,0.5998,0.4115,0.3773,16567,18.3
16_v2,3,0.584,2026-01-22 11:53:01.709,1,734,110,1076,528,0.719,0.2597,0.5997,0.4094,0.3738,16448,18.0
16_v2,3,0.584,2026-01-22 11:54:05.640,1,734,115,1078,515,0.645,0.2597,0.5511,0.3827,0.3521,14755,16.8
16_v2,4,0.285,2026-01-22 11:57:50.205,1,915,312,1507,1014,0.872,0.2597,0.3334,0.2740,0.2675,33922,12.8
16_v2,4,0.285,2026-01-22 11:57:53.681,1,921,313,1502,1009,0.871,0.2597,0.3354,0.2750,0.2680,31492,12.2
16_v2,4,0.285,2026-01-22 11:57:55.134,1,914,313,1505,1008,0.873,0.2597,0.3361,0.2753,0.2689,33593,12.8
16_v2,4,0.285,2026-01-22 11:57:56.490,1,921,310,1505,1013,0.871,0.2597,0.3320,0.2746,0.2689,33273,12.7
16_v2,4,0.285,2026-01-22 11:57:58.032,1,912,310,1504,1012,0.872,0.2597,0.3328,0.2746,0.2681,34423,12.9
11,1,0.373,2026-01-22 13:01:48.861,1,575,263,1039,830,0.662,0.2159,0.3868,0.2736,0.2684,27184,16.1
11,1,0.373,2026-01-22 13:01:52.462,1,585,271,1036,837,0.664,0.2159,0.3882,0.2734,0.2711,27036,16.6
11,1,0.373,2026-01-22 13:01:57.093,1,583,275,1029,827,0.686,0.2159,0.3936,0.2754,0.2733,27017,17.2
11,1,0.373,2026-01-22 13:02:05.464,1,580,274,1038,823,0.796,0.2159,0.3971,0.2723,0.2709,27305,17.0
11,1,0.373,2026-01-22 13:03:32.966,1,587,263,1051,818,0.833,0.2159,0.3955,0.2724,0.2718,27083,16.4
11,2,0.505,2026-01-22 13:04:59.751,1,932,29,1303,483,0.787,0.2626,0.3812,0.3266,0.3219,35399,32.8
11,2,0.505,2026-01-22 13:05:01.207,1,931,27,1304,482,0.760,0.2660,0.3846,0.3279,0.3231,36102,33.2
